usrname,七夕超火,超级火箭,七夕火箭,火箭,七夕飞机,飞机,七夕办卡,办卡,金锄头,冰棍,小飞碟,鹊桥飞星,F4,有排面,七夕鹊羽,打call,帐篷,好人卡,没排面,药丸,赞,总计
勿忘草之花,,,,500.0,,600.0,,,,,,,1.7999999999999998,,,,,253.99999999998985,,,,1355.7999999999897
F4丶螺蛳粉,,,,,,1000.0,,42.0,90.0,,5.0,,7.799999999999998,,,,0.2,134.09999999999667,,,2.400000000000001,1281.4999999999968
F4丶跳起来打他膝盖,,,,,,900.0,,,180.0,,,,,,,,,132.09999999999678,,,,1212.0999999999967
丶只看此人,,,,,,,,,816.0,,,,324.00000000000085,,,,,,,,,1140.000000000001
F4一院长,,,,500.0,,600.0,,,,,,,,,,,,,,,,1100.0
爱吃大鸡腿的小男孩,,,,,,500.0,12.0,36.0,132.0,,10.0,3.0,94.79999999999981,,,6.400000000000003,,222.19999999999166,,,81.79999999999963,1098.1999999999912
GIGN大队长,,,,,100.0,500.0,,,456.0,,1.0,,,,,,,2.0000000000000004,,,,1059.0
F4丶痴汉路过,,,500.0,,500.0,,,,48.0,,11.0,,,,,,,,,,,1059.0
F4丶野战配种兵,,,500.0,500.0,,,,,,,7.0,,,,,,,,,,1.0999999999999999,1008.1
尼古拉斯劉能,,,,500.0,,500.0,,,,,,,,,,,0.2,1.8000000000000005,,,,1002.0
锦衣卫丶银剑儿子,,,,500.0,,500.0,,,,,,,,,,,,2.0000000000000004,,,,1002.0
户外黑粉丶工厂司机,,,,1000.0,,,,,,,,,,,,,,,,,,1000.0
走马余阳,,,,1000.0,,,,,,,,,,,,,,,,,,1000.0
我的名字叫天空丶,,,,1000.0,,,,,,,,,,,,,,,,,,1000.0
乔妹Zz,,,,1000.0,,,,,,,,,,,,,,,,,,1000.0
锦衣卫丶打爆逼俊眼睛,,,,500.0,,400.0,,18.0,,,,,,,,38.80000000000001,,,,,,956.8
龙溪沙子,,,,,,700.0,,,174.0,,3.0,,66.60000000000008,,,,,2.1000000000000005,,,,945.7000000000002
哀伤的零度C,,,,,,600.0,,,126.0,,51.0,,86.39999999999989,,,0.4,0.4,34.30000000000022,,,3.600000000000002,902.1
林cute,,,,500.0,100.0,300.0,,,,,,,,,,,,,,,,900.0
盖世qwe,,,,500.0,,200.0,,,,,28.0,,,,,,,171.99999999999451,,,,899.9999999999945
我也很无奈乀丶,,,,500.0,,300.0,,,12.0,,1.0,,,,,,,24.00000000000007,,,19.0,856.0000000000001
F4丶LeMon,,,,500.0,,200.0,,,84.0,1.0,,,8.399999999999999,,,3.800000000000001,,16.79999999999997,,,7.599999999999989,821.6
F4丶安静看直播丶军军,,,,,,600.0,,,108.0,,10.0,,27.600000000000023,,,,,9.699999999999982,,,,755.3
cy251178000,,,,500.0,,200.0,,,6.0,,2.0,,1.2,,,,,2.9000000000000012,,,,712.1
老阳黑粉丶红杏,,,,,,700.0,,,,,,,,,,,,9.99999999999998,,,,710.0
777g77777,,,,500.0,200.0,,,,,,3.0,,,,,,,,,,0.1,703.1
小哥哥的大弟弟丶,,,,,,600.0,,,12.0,,,,,,,,,88.39999999999925,,,,700.3999999999993
户外黑粉丶阳阳,,,,,,400.0,,,216.0,1.0,,,4.8,,,10.399999999999995,,67.80000000000042,,,,700.0000000000005
社会你铁哥,,,,,,700.0,,,,,,,,,,,,,,,,700.0
上官潇竹,,,,500.0,100.0,100.0,,,,,,,,,,,,,,,,700.0
嗯都滚,,,,500.0,,200.0,,,,,,,,,,,,,,,,700.0
人来人往丶岁月如歌,,,,,200.0,200.0,,,222.0,,7.0,,39.60000000000005,,,12.999999999999986,,,,,8.499999999999986,690.1
壹人壹心,,,,,,600.0,,,,,1.0,,,,,,,,,,34.00000000000021,635.0000000000002
户外黑粉丶战神冬,,,,,,300.0,12.0,12.0,288.0,1.0,6.0,1.0,,,,0.2,0.4,4.000000000000002,,,,624.6
F4丶户外黑粉丶眼圈,,,,,100.0,400.0,,,78.0,,,,19.800000000000004,,,,,11.999999999999973,,,1.0999999999999999,610.9
户外黑粉丶太湖游击队,,,,,100.0,400.0,,,96.0,,,,,,,,,13.999999999999966,,,,610.0
男人一定要有志气,,,,,,600.0,,,6.0,,,,,,,,,4.000000000000002,,,,610.0
余丹咿呀呀,,,,,,600.0,,,,,,,,,,,,,,,,600.0
安静看直播不插嘴丶,,,,500.0,,100.0,,,,,,,,,,,,,,,,600.0
无聊哦000,,,,,,500.0,,,,,,,99.59999999999977,,,,0.4,,,,,599.9999999999998
锦衣卫丶丝卓,,,,500.0,,,,,,,,,,,,,,99.9999999999986,,,,599.9999999999986
做个疯子,,,,500.0,,,,,66.0,,,,,,,,,33.90000000000021,,,,599.9000000000002
F4丶真风凉凉,,,,,,100.0,,,330.0,,,,,,,,,150.9999999999957,,,6.999999999999991,587.9999999999957
锦衣卫丶晓太阳,,,,,,400.0,,,,,,,,,,,0.4,170.5999999999946,,,,570.9999999999945
江西农村建设,,,,,,100.0,,,390.0,,4.0,,6.599999999999999,,,50.00000000000017,,12.199999999999973,,,,562.8000000000001
痴汉627,,,,,,300.0,,,252.0,,,,,,,,,,,,0.1,552.1
姚弱鸡儿,,,,500.0,,,,,48.0,,,,3.6,,,,,,,,,551.6
泉眼温泉陈生,,,,500.0,,,,,24.0,,,,,,,,,25.200000000000088,,,,549.2
走廊0008,,,,500.0,,,,42.0,,,,,,,,,,,,,,542.0
姚大鸡儿,,,,500.0,,,,,36.0,,,,5.999999999999999,,,,,,,,,542.0
那谁丶你站住,,,,,,500.0,,12.0,,,,,,,,,,,,,7.999999999999988,520.0
巡行512,,,,500.0,,,,,,,,,2.4,,,,,,,,0.6,503.0
川味箩卜,,,,500.0,,,,,,,,,,,,,,0.1,,,,500.1
看谁直播谁对a,,,500.0,,,,,,,,,,,,,,,,,,,500.0
邓肯,,,500.0,,,,,,,,,,,,,,,,,,,500.0
